Original Name,Universal Name
Visual1 | Visual1,Visual1 | Visual1
Visual2 | Visual1,Visual2 | Visual1
Somatomotor | Visual1,Somatomotor | Visual1
Cingulo-Oper | Visual1,Cingulo-Oper | Visual1
Language | Visual1,Language | Visual1
Default | Visual1,Default | Visual1
Frontopariet | Visual1,Frontopariet | Visual1
Auditory | Visual1,Auditory | Visual1
Dorsal-atten | Visual1,Dorsal-atten | Visual1
Posterior-Mu | Visual1,Posterior-Mu | Visual1
Orbito-Affec | Visual1,Orbito-Affec | Visual1
Ventral-Mult | Visual1,Ventral-Mult | Visual1
Visual1 | Visual2,Visual2 | Visual1
Visual2 | Visual2,Visual2 | Visual2
Somatomotor | Visual2,Somatomotor | Visual2
Cingulo-Oper | Visual2,Cingulo-Oper | Visual2
Language | Visual2,Language | Visual2
Default | Visual2,Default | Visual2
Frontopariet | Visual2,Frontopariet | Visual2
Auditory | Visual2,Auditory | Visual2
Dorsal-atten | Visual2,Dorsal-atten | Visual2
Posterior-Mu | Visual2,Posterior-Mu | Visual2
Orbito-Affec | Visual2,Orbito-Affec | Visual2
Ventral-Mult | Visual2,Ventral-Mult | Visual2
Visual1 | Somatomotor,Somatomotor | Visual1
Visual2 | Somatomotor,Somatomotor | Visual2
Somatomotor | Somatomotor,Somatomotor | Somatomotor
Cingulo-Oper | Somatomotor,Cingulo-Oper | Somatomotor
Language | Somatomotor,Language | Somatomotor
Default | Somatomotor,Default | Somatomotor
Frontopariet | Somatomotor,Frontopariet | Somatomotor
Auditory | Somatomotor,Auditory | Somatomotor
Dorsal-atten | Somatomotor,Dorsal-atten | Somatomotor
Posterior-Mu | Somatomotor,Posterior-Mu | Somatomotor
Orbito-Affec | Somatomotor,Orbito-Affec | Somatomotor
Ventral-Mult | Somatomotor,Ventral-Mult | Somatomotor
Visual1 | Cingulo-Oper,Cingulo-Oper | Visual1
Visual2 | Cingulo-Oper,Cingulo-Oper | Visual2
Somatomotor | Cingulo-Oper,Cingulo-Oper | Somatomotor
Cingulo-Oper | Cingulo-Oper,Cingulo-Oper | Cingulo-Oper
Language | Cingulo-Oper,Language | Cingulo-Oper
Default | Cingulo-Oper,Default | Cingulo-Oper
Frontopariet | Cingulo-Oper,Frontopariet | Cingulo-Oper
Auditory | Cingulo-Oper,Auditory | Cingulo-Oper
Dorsal-atten | Cingulo-Oper,Dorsal-atten | Cingulo-Oper
Posterior-Mu | Cingulo-Oper,Posterior-Mu | Cingulo-Oper
Orbito-Affec | Cingulo-Oper,Orbito-Affec | Cingulo-Oper
Ventral-Mult | Cingulo-Oper,Ventral-Mult | Cingulo-Oper
Visual1 | Language,Language | Visual1
Visual2 | Language,Language | Visual2
Somatomotor | Language,Language | Somatomotor
Cingulo-Oper | Language,Language | Cingulo-Oper
Language | Language,Language | Language
Default | Language,Default | Language
Frontopariet | Language,Frontopariet | Language
Auditory | Language,Auditory | Language
Dorsal-atten | Language,Dorsal-atten | Language
Posterior-Mu | Language,Posterior-Mu | Language
Orbito-Affec | Language,Orbito-Affec | Language
Ventral-Mult | Language,Ventral-Mult | Language
Visual1 | Default,Default | Visual1
Visual2 | Default,Default | Visual2
Somatomotor | Default,Default | Somatomotor
Cingulo-Oper | Default,Default | Cingulo-Oper
Language | Default,Default | Language
Default | Default,Default | Default
Frontopariet | Default,Frontopariet | Default
Auditory | Default,Auditory | Default
Dorsal-atten | Default,Dorsal-atten | Default
Posterior-Mu | Default,Posterior-Mu | Default
Orbito-Affec | Default,Orbito-Affec | Default
Ventral-Mult | Default,Ventral-Mult | Default
Visual1 | Frontopariet,Frontopariet | Visual1
Visual2 | Frontopariet,Frontopariet | Visual2
Somatomotor | Frontopariet,Frontopariet | Somatomotor
Cingulo-Oper | Frontopariet,Frontopariet | Cingulo-Oper
Language | Frontopariet,Frontopariet | Language
Default | Frontopariet,Frontopariet | Default
Frontopariet | Frontopariet,Frontopariet | Frontopariet
Auditory | Frontopariet,Auditory | Frontopariet
Dorsal-atten | Frontopariet,Dorsal-atten | Frontopariet
Posterior-Mu | Frontopariet,Posterior-Mu | Frontopariet
Orbito-Affec | Frontopariet,Orbito-Affec | Frontopariet
Ventral-Mult | Frontopariet,Ventral-Mult | Frontopariet
Visual1 | Auditory,Auditory | Visual1
Visual2 | Auditory,Auditory | Visual2
Somatomotor | Auditory,Auditory | Somatomotor
Cingulo-Oper | Auditory,Auditory | Cingulo-Oper
Language | Auditory,Auditory | Language
Default | Auditory,Auditory | Default
Frontopariet | Auditory,Auditory | Frontopariet
Auditory | Auditory,Auditory | Auditory
Dorsal-atten | Auditory,Dorsal-atten | Auditory
Posterior-Mu | Auditory,Posterior-Mu | Auditory
Orbito-Affec | Auditory,Orbito-Affec | Auditory
Ventral-Mult | Auditory,Ventral-Mult | Auditory
Visual1 | Dorsal-atten,Dorsal-atten | Visual1
Visual2 | Dorsal-atten,Dorsal-atten | Visual2
Somatomotor | Dorsal-atten,Dorsal-atten | Somatomotor
Cingulo-Oper | Dorsal-atten,Dorsal-atten | Cingulo-Oper
Language | Dorsal-atten,Dorsal-atten | Language
Default | Dorsal-atten,Dorsal-atten | Default
Frontopariet | Dorsal-atten,Dorsal-atten | Frontopariet
Auditory | Dorsal-atten,Dorsal-atten | Auditory
Dorsal-atten | Dorsal-atten,Dorsal-atten | Dorsal-atten
Posterior-Mu | Dorsal-atten,Posterior-Mu | Dorsal-atten
Orbito-Affec | Dorsal-atten,Orbito-Affec | Dorsal-atten
Ventral-Mult | Dorsal-atten,Ventral-Mult | Dorsal-atten
Visual1 | Posterior-Mu,Posterior-Mu | Visual1
Visual2 | Posterior-Mu,Posterior-Mu | Visual2
Somatomotor | Posterior-Mu,Posterior-Mu | Somatomotor
Cingulo-Oper | Posterior-Mu,Posterior-Mu | Cingulo-Oper
Language | Posterior-Mu,Posterior-Mu | Language
Default | Posterior-Mu,Posterior-Mu | Default
Frontopariet | Posterior-Mu,Posterior-Mu | Frontopariet
Auditory | Posterior-Mu,Posterior-Mu | Auditory
Dorsal-atten | Posterior-Mu,Posterior-Mu | Dorsal-atten
Posterior-Mu | Posterior-Mu,Posterior-Mu | Posterior-Mu
Orbito-Affec | Posterior-Mu,Orbito-Affec | Posterior-Mu
Ventral-Mult | Posterior-Mu,Ventral-Mult | Posterior-Mu
Visual1 | Orbito-Affec,Orbito-Affec | Visual1
Visual2 | Orbito-Affec,Orbito-Affec | Visual2
Somatomotor | Orbito-Affec,Orbito-Affec | Somatomotor
Cingulo-Oper | Orbito-Affec,Orbito-Affec | Cingulo-Oper
Language | Orbito-Affec,Orbito-Affec | Language
Default | Orbito-Affec,Orbito-Affec | Default
Frontopariet | Orbito-Affec,Orbito-Affec | Frontopariet
Auditory | Orbito-Affec,Orbito-Affec | Auditory
Dorsal-atten | Orbito-Affec,Orbito-Affec | Dorsal-atten
Posterior-Mu | Orbito-Affec,Orbito-Affec | Posterior-Mu
Orbito-Affec | Orbito-Affec,Orbito-Affec | Orbito-Affec
Ventral-Mult | Orbito-Affec,Ventral-Mult | Orbito-Affec
Visual1 | Ventral-Mult,Ventral-Mult | Visual1
Visual2 | Ventral-Mult,Ventral-Mult | Visual2
Somatomotor | Ventral-Mult,Ventral-Mult | Somatomotor
Cingulo-Oper | Ventral-Mult,Ventral-Mult | Cingulo-Oper
Language | Ventral-Mult,Ventral-Mult | Language
Default | Ventral-Mult,Ventral-Mult | Default
Frontopariet | Ventral-Mult,Ventral-Mult | Frontopariet
Auditory | Ventral-Mult,Ventral-Mult | Auditory
Dorsal-atten | Ventral-Mult,Ventral-Mult | Dorsal-atten
Posterior-Mu | Ventral-Mult,Ventral-Mult | Posterior-Mu
Orbito-Affec | Ventral-Mult,Ventral-Mult | Orbito-Affec
Ventral-Mult | Ventral-Mult,Ventral-Mult | Ventral-Mult
